location,date,stringency_index,reproduction_rate,new_deaths_smoothed_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,human_development_index,%_of_mixed_sentiments,%_of_negative_sentiments,%_of_neutral_sentiments,%_of_positive_sentiments
Singapore,16/2/2022,60.19,1.42,1.179,9.718,91.05,0.938,2.190923318,24.72613459,66.35367762,6.729264476
United States,16/2/2022,58.8,0.52,6.984,"",76.3,0.926,0.818533793,44.40072384,48.74800101,6.032741352
Italy,16/2/2022,76.85,0.69,4.889,8.978,83.73,0.892,1.466992665,39.85330073,51.1002445,7.579462103
Germany,16/2/2022,84.26,0.99,2.132,20,75.55,0.947,1.195952162,41.58233671,50.2299908,6.991720331
Norway,16/2/2022,13.89,0.88,0.941,"",79.17,0.957,0.675675676,41.21621622,53.37837838,4.72972973
United Kingdom,16/2/2022,29.63,0.68,2.281,"",77.03,0.932,1.038680011,44.53881526,47.92534487,6.497159859
Australia,16/2/2022,51.39,0.9,2.077,-,85.09,0.944,1.38381404,45.82912229,46.67651403,6.110549638
Taiwan,16/2/2022,27.78,1.03,0.006,"",80.72,"",1.408450704,28.16901408,61.97183099,8.450704225
Hong Kong,16/2/2022,71.3,"",0.227,-,76,0.949,0.598290598,35.12820513,59.57264957,4.700854701
China,16/2/2022,64.35,2.48,0,-,"",0.761,2.052238806,32.64925373,58.76865672,6.529850746
Brazil,16/2/2022,69.91,0.8,3.789,-,81.75,0.765,1.712328767,33.90410959,50,14.38356164
France,16/2/2022,69.44,0.67,4.753,23.553,79.97,0.901,0.961538462,38.94230769,51.92307692,8.173076923
New Zealand,16/2/2022,62.04,2.27,0,-,82.58,0.931,1.454207921,41.27475248,50.92821782,6.342821782
South Korea,16/2/2022,46.3,1.67,0.766,"",87.33,0.916,1.976284585,22.52964427,64.82213439,10.67193676
Japan,16/2/2022,47.22,0.96,1.372,-,80.57,0.919,0.872817955,31.42144638,58.22942643,9.476309227
India,16/2/2022,71.76,0.36,0.399,-,68.9,0.645,0.534536039,27.97126869,62.53236449,8.961830786
Canada,16/2/2022,76.39,0.72,2.124,-,85.36,0.929,0.806240511,48.71472698,44.87199623,5.607036281
South Africa,16/2/2022,41.67,0.92,2.422,"",33.4,0.709,0.841009211,42.33079696,49.93992791,6.888265919
Egypt,16/2/2022,43.52,1.02,0.56,-,"",0.707,35.82089552,56.71641791,7.462686567,0.00E+00
Argentina,16/2/2022,35.19,0.55,4.138,-,88.96,0.845,1.764705882,27.64705882,61.17647059,9.411764706
Singapore,11/1/2022,50,1.47,0.157,"",88.45,0.938,1.030927835,34.53608247,51.54639175,12.88659794
United States,11/1/2022,53.24,1.27,5.374,"",74.44,0.926,0.947380119,49.28877035,42.12090904,7.64294049
Italy,11/1/2022,76.85,1.31,3.583,16.963,81.32,0.892,0.909090909,39.09090909,50.90909091,9.090909091
Germany,11/1/2022,84.26,1.35,3.017,14.922,74.24,0.947,0.222717149,42.76169265,49.66592428,7.349665924
Norway,11/1/2022,51.85,1.4,1.124,-,78.67,0.957,41.53846154,50.76923077,7.692307692,0.00E+00
United Kingdom,11/1/2022,48.61,0.9,3.502,"",76.26,0.932,1.219828705,51.72592785,40.7215157,6.332727745
Australia,11/1/2022,40.28,1.6,0.969,-,80.05,0.944,0.78384082,49.04029746,43.78454427,6.391317456
Taiwan,11/1/2022,20.37,1.38,0,"","","",28.23529412,61.17647059,10.58823529,0.00E+00
Hong Kong,11/1/2022,65.74,"",0,-,66.88,0.949,0.423728814,33.89830508,62.71186441,2.966101695
China,11/1/2022,79.17,1.05,0,-,"",0.761,1.630434783,45.10869565,48.91304348,4.347826087
Brazil,11/1/2022,61.57,2.1,0.569,-,77.93,0.765,2.955665025,34.48275862,54.18719212,8.374384236
France,11/1/2022,69.44,1.34,3.172,36.042,79.2,0.901,0.891265597,43.85026738,50.4456328,4.812834225
New Zealand,11/1/2022,62.96,1.06,0.028,-,77.66,0.931,1.751152074,37.05069124,53.68663594,7.511520737
South Korea,11/1/2022,45.37,0.95,0.913,"",86.73,0.916,0.917431193,27.52293578,63.30275229,8.256880734
Japan,11/1/2022,47.22,2.33,0.011,-,80.25,0.919,1.639344262,39.3442623,53.39578454,5.620608899
India,11/1/2022,72.69,2.12,0.216,-,64.29,0.645,0.711574953,30.7084124,58.9658444,9.614168248
Canada,11/1/2022,78.24,1.03,3.096,-,83.89,0.929,0.781686209,49.22761958,43.98846082,6.002233389
South Africa,11/1/2022,49.07,0.69,1.539,"","",0.709,0.36101083,45.96871239,46.45006017,7.220216606
Egypt,11/1/2022,43.52,1.12,0.244,-,"",0.707,1.904761905,37.14285714,51.42857143,9.523809524
Argentina,11/1/2022,35.19,1.54,0.943,-,86.44,0.845,27.13178295,58.13953488,14.72868217,0.00E+00
Singapore,28/1/2022,60.19,1.59,0.183,"",90.26,0.938,1.394700139,29.14923291,60.94839609,8.507670851
United States,28/1/2022,58.8,0.75,7.514,"",75.64,0.926,0.943041151,46.34597692,46.2602459,6.450736032
Italy,28/1/2022,76.85,0.84,6.091,14.23,82.96,0.892,0.763358779,39.40839695,52.95801527,6.870229008
Germany,28/1/2022,84.26,1.38,1.701,14.565,75.15,0.947,0.96679277,37.32660782,52.75325767,8.95334174
Norway,28/1/2022,45.37,1.23,0.653,-,78.98,0.957,1.960784314,42.85714286,49.01960784,6.162464986
United Kingdom,28/1/2022,42.13,1.28,3.837,"",76.7,0.932,1.00869495,42.57701386,48.93582683,7.478464363
Australia,28/1/2022,66.2,0.82,3.263,-,83.75,0.944,0.813084996,47.46147301,44.7858561,6.939585894
Taiwan,28/1/2022,27.78,1.08,0,"",80.03,"",28.75,59.16666667,12.08333333,0.00E+00
Hong Kong,28/1/2022,65.74,"",0,-,70.61,0.949,0.17452007,30.54101222,63.52530541,5.759162304
China,28/1/2022,64.35,1.18,0,-,87.66,0.761,0.914285714,43.65714286,50.74285714,4.685714286
Brazil,28/1/2022,61.57,1.33,2.2,-,79.26,0.765,1.038575668,39.76261128,50.59347181,8.605341246
France,28/1/2022,69.44,0.98,4.094,30.435,79.74,0.901,1.264852434,38.25220391,51.39900345,9.083940207
New Zealand,28/1/2022,62.04,1.51,0,-,80.98,0.931,1.50614348,39.99207293,50.73325406,7.768529528
South Korea,28/1/2022,50.93,1.8,0.51,"",87.11,0.916,2.464788732,31.33802817,61.61971831,4.577464789
Japan,28/1/2022,47.22,1.52,0.245,-,"",0.919,1.521216974,35.4683747,55.16413131,7.846277022
India,28/1/2022,83.8,0.89,0.442,-,67.25,0.645,0.292785759,33.11992505,60.45830731,6.128981886
Canada,28/1/2022,78.24,0.76,3.85,-,84.82,0.929,0.803173753,45.35984618,47.59412953,6.242850537
South Africa,28/1/2022,41.67,0.84,2.529,"",32.58,0.709,0.569259962,47.92626728,45.83898075,5.665492003
Egypt,28/1/2022,43.52,1.28,0.319,-,"",0.707,0.759493671,34.17721519,55.44303797,9.620253165
Argentina,28/1/2022,35.19,0.71,5.288,-,87.95,0.845,0.556586271,37.29128015,54.35992579,7.792207792
Singapore,19/2/2022,60.19,1.36,1.257,13.936,91.17,0.938,4.076738609,33.57314149,54.19664269,8.153477218
United States,19/2/2022,58.8,0.55,6.681,"",76.39,0.926,0.746918758,46.9429567,46.07182035,6.238304188
Italy,19/2/2022,76.85,0.74,4.79,8.117,83.79,0.892,0.756429652,42.66263238,48.2602118,8.320726172
Germany,19/2/2022,84.26,0.97,2.256,19.618,75.59,0.947,0.984898227,40.24950755,51.2803677,7.485226527
Norway,19/2/2022,11.11,0.88,0.915,"",79.19,0.957,3.240740741,46.75925926,42.59259259,7.407407407
United Kingdom,19/2/2022,29.63,0.72,2.076,"",77.07,0.932,0.926975659,45.49183061,46.78226075,6.798932978
Australia,19/2/2022,51.39,0.96,1.767,-,85.22,0.944,0.850559862,47.44832041,45.48880276,6.212316968
Taiwan,19/2/2022,27.78,1.04,0.006,"","","",1.578947368,30,62.63157895,5.789473684
Hong Kong,19/2/2022,71.3,"",1.078,-,77.59,0.949,0.825471698,39.74056604,53.89150943,5.54245283
China,19/2/2022,64.35,2.3,0,-,"",0.761,0.741839763,37.68545994,57.12166172,4.451038576
Brazil,19/2/2022,69.91,0.79,3.905,-,82.31,0.765,0.992063492,27.97619048,56.74603175,14.28571429
France,19/2/2022,69.44,0.67,4.019,21.506,79.99,0.901,0.856793146,36.41370869,55.875153,6.854345165
New Zealand,19/2/2022,62.04,2.3,0,-,82.76,0.931,1.4803849,46.15099926,45.92894152,6.439674315
South Korea,19/2/2022,46.3,1.58,0.902,"",87.38,0.916,1.298701299,30.51948052,55.84415584,12.33766234
Japan,19/2/2022,47.22,0.94,1.644,-,"",0.919,0.847457627,35.10895884,56.53753027,7.506053269
India,19/2/2022,71.76,0.35,0.332,-,69.06,0.645,0.762242874,30.8238488,59.49671087,8.917197452
Canada,19/2/2022,76.39,0.74,1.617,-,85.42,0.929,0.679270378,48.61295839,45.33536006,5.372411172
South Africa,19/2/2022,41.67,0.89,3.883,"",33.54,0.709,0.79928952,42.45115453,49.46714032,7.282415631
Egypt,19/2/2022,43.52,0.97,0.551,-,38.45,0.707,0.497512438,38.30845771,49.75124378,11.44278607
Argentina,19/2/2022,35.19,0.58,3.753,-,89.09,0.845,0.647249191,32.03883495,62.45954693,4.854368932
Singapore,10/1/2022,50,1.49,0.236,"",88.39,0.938,1.639344262,30.6010929,61.20218579,6.557377049
United States,10/1/2022,53.24,1.35,5.305,"",74.34,0.926,1.049791513,46.9364729,44.94971793,7.06401766
Italy,10/1/2022,76.85,1.38,3.5,16.433,81.18,0.892,1.002506266,41.60401003,50.12531328,7.268170426
Germany,10/1/2022,84.26,1.34,3.075,15.423,74.18,0.947,1.311084625,41.47794994,50.41716329,6.793802145
Norway,10/1/2022,51.85,1.38,1.176,-,78.65,0.957,1.388888889,49.30555556,44.44444444,4.861111111
United Kingdom,10/1/2022,48.61,0.93,2.811,"",76.23,0.932,1.122572816,48.81674757,44.29105987,5.769619741
Australia,10/1/2022,45.83,1.68,0.803,-,79.8,0.944,0.993733781,52.96537756,40.04050889,6.000379771
Taiwan,10/1/2022,20.37,1.38,0,"","","",1.047120419,32.46073298,60.20942408,6.282722513
Hong Kong,10/1/2022,62.04,"",0,-,66.62,0.949,0.634249471,36.15221987,57.92811839,5.285412262
China,10/1/2022,79.17,1.05,0,-,"",0.761,0.516795866,40.82687339,55.55555556,3.100775194
Brazil,10/1/2022,61.57,2.13,0.596,-,77.91,0.765,38.75598086,49.76076555,11.48325359,0.00E+00
France,10/1/2022,69.44,1.37,3.193,35.567,79.15,0.901,1.161665053,41.23910939,51.11326234,6.485963214
New Zealand,10/1/2022,62.96,1.05,0,-,77.63,0.931,1.673944687,42.57641921,49.56331878,6.186317322
South Korea,10/1/2022,45.37,0.94,0.927,"",86.69,0.916,2.962962963,45.18518519,43.7037037,8.148148148
Japan,10/1/2022,47.22,2.61,0.01,-,80.23,0.919,1.236476043,34.93044822,56.72333849,7.109737249
India,10/1/2022,72.69,2.25,0.225,-,63.83,0.645,3.427048879,26.63542815,61.68687982,8.250643146
Canada,10/1/2022,78.24,1.08,2.807,-,83.83,0.929,1.250106302,46.27094141,45.93077643,6.548175865
South Africa,10/1/2022,49.07,0.7,1.587,"","",0.709,0.598503741,55.21197007,40.29925187,3.890274314
Egypt,10/1/2022,43.52,1.1,0.244,-,"",0.707,33.79310345,55.17241379,11.03448276,0.00E+00
Argentina,10/1/2022,35.19,1.62,0.933,-,86.29,0.845,1.45631068,41.74757282,50,6.796116505
Singapore,21/1/2022,60.19,2.37,0.157,"",89.62,0.938,1.569858713,24.0188383,68.91679749,5.494505495
United States,21/1/2022,58.8,0.96,6.48,"",75.24,0.926,1.08226322,42.32602479,50.15420849,6.437503505
Italy,21/1/2022,76.85,1.02,5.715,16.201,82.44,0.892,1.500938086,38.46153846,52.53283302,7.504690432
Germany,21/1/2022,84.26,1.48,1.955,12.324,74.86,0.947,1.007919366,34.48524118,57.01943844,7.487401008
Norway,21/1/2022,48.15,1.45,0.863,"",78.87,0.957,2.232142857,35.26785714,52.23214286,10.26785714
United Kingdom,21/1/2022,46.76,0.95,3.938,"",76.54,0.932,0.950480783,45.03006623,46.16620944,7.85324355
Australia,21/1/2022,63.43,0.83,2.338,-,82.54,0.944,1.010830325,51.57641396,40.88086643,6.53188929
Taiwan,21/1/2022,27.78,1.19,0,"",79.44,"",1.546391753,20.6185567,71.13402062,6.701030928
Hong Kong,21/1/2022,65.74,"",0,-,69.09,0.949,0.713012478,40.81996435,54.36720143,4.099821747
China,21/1/2022,79.17,0.84,0,-,87.59,0.761,1.147227533,36.71128107,55.64053537,6.500956023
Brazil,21/1/2022,61.57,1.65,1.21,-,78.45,0.765,0.630914826,35.6466877,55.20504732,8.517350158
France,21/1/2022,69.44,1.15,3.445,29.946,79.58,0.901,0.988793672,37.6400791,55.24060646,6.130520765
New Zealand,21/1/2022,60.19,1.24,0,-,79.14,0.931,1.279813845,41.4194299,50.72716696,6.573589296
South Korea,21/1/2022,50.93,1.43,0.691,"",86.99,0.916,1.025641026,26.66666667,57.43589744,14.87179487
Japan,21/1/2022,47.22,1.91,0.06,-,"",0.919,1.070663812,29.5503212,62.63383298,6.745182013
India,21/1/2022,83.8,1.32,0.321,-,66.42,0.645,0.463387036,27.12430627,65.00350234,7.408804354
Canada,21/1/2022,78.24,0.76,4.312,-,84.46,0.929,0.929081913,47.21825179,45.22264981,6.630016493
South Africa,21/1/2022,41.67,0.72,1.98,"",32.25,0.709,0.653381248,34.85788958,58.31427638,6.174452793
Egypt,21/1/2022,43.52,1.28,0.263,-,36.02,0.707,1.041666667,38.02083333,56.25,4.6875
Argentina,21/1/2022,35.19,1.03,3.345,-,87.43,0.845,0.94637224,37.53943218,54.88958991,6.624605678
Singapore,23/1/2022,60.19,2.04,0.131,"",89.89,0.938,0.70754717,31.60377358,56.13207547,11.55660377
United States,23/1/2022,58.8,0.89,6.462,"",75.32,0.926,0.918461622,48.73643593,42.96842449,7.376677959
Italy,23/1/2022,76.85,0.99,5.724,15.936,82.63,0.892,0.529100529,38.62433862,52.02821869,8.818342152
Germany,23/1/2022,84.26,1.45,1.871,12.491,74.92,0.947,0.838574423,39.76240391,51.85185185,7.547169811
Norway,23/1/2022,48.15,1.39,0.863,4.471,78.88,0.957,0.507614213,46.1928934,45.17766497,8.121827411
United Kingdom,23/1/2022,46.76,0.99,3.935,"",76.59,0.932,1.163697439,51.7215524,40.81638774,6.298362426
Australia,23/1/2022,66.2,0.82,2.526,-,82.8,0.944,0.784781517,49.52913109,43.35133099,6.334756404
Taiwan,23/1/2022,27.78,1.16,0,"",79.53,"",0.555555556,25,68.33333333,6.111111111
Hong Kong,23/1/2022,65.74,"",0,-,69.46,0.949,0.573613767,33.46080306,63.28871893,2.676864245
China,23/1/2022,79.17,0.99,0,-,"",0.761,1.80878553,40.05167959,53.48837209,4.651162791
Brazil,23/1/2022,61.57,1.56,1.364,-,78.55,0.765,1.944444444,36.38888889,52.77777778,8.888888889
France,23/1/2022,69.44,1.1,3.558,30.242,79.62,0.901,1.00565682,41.2319296,52.67127593,5.091137649
New Zealand,23/1/2022,62.04,1.29,0,-,79.49,0.931,1.915041783,37.67409471,51.91504178,8.495821727
South Korea,23/1/2022,50.93,1.59,0.646,"",87.01,0.916,1.612903226,27.41935484,61.29032258,9.677419355
Japan,23/1/2022,47.22,1.82,0.088,-,80.39,0.919,1.767676768,35.35353535,57.1969697,5.681818182
India,23/1/2022,83.8,1.19,0.348,-,66.74,0.645,0.700071304,29.72061969,59.22084657,10.35846244
Canada,23/1/2022,78.24,0.75,3.978,-,84.55,0.929,0.767263427,48.81167738,44.46385129,5.95720791
South Africa,23/1/2022,41.67,0.74,1.934,"","",0.709,0.325732899,43.18287576,49.93020009,6.561191252
Egypt,23/1/2022,43.52,1.29,0.301,-,"",0.707,0.947867299,33.17535545,54.97630332,10.90047393
Argentina,23/1/2022,35.19,0.95,3.533,-,87.49,0.845,29.26829268,58.1300813,12.60162602,0.00E+00
Singapore,26/2/2022,60.19,1.13,1.519,15.403,91.4,0.938,2.325581395,34.88372093,51.82724252,10.96345515
United States,26/2/2022,58.8,0.63,5.311,"",76.55,0.926,0.731908866,44.23326644,49.14413883,5.890685869
Italy,26/2/2022,76.85,0.76,3.711,7.09,83.86,0.892,0.845665962,36.78646934,55.17970402,7.188160677
Germany,26/2/2022,84.26,0.96,2.416,18.403,75.66,0.947,0.781928758,41.26846221,51.08601216,6.863596872
Norway,26/2/2022,11.11,0.85,1.307,"",79.21,0.957,2.304147465,48.84792627,40.0921659,8.755760369
United Kingdom,26/2/2022,29.63,0.88,1.51,"",77.15,0.932,0.886753195,44.72406618,46.45794115,7.931239473
Australia,26/2/2022,51.39,1.03,1.357,-,85.48,0.944,1.086956522,48.16933638,43.8215103,6.922196796
Taiwan,26/2/2022,27.78,1.04,0.006,"","","",1.098901099,34.06593407,54.94505495,9.89010989
Hong Kong,26/2/2022,71.3,"",5.693,-,80.94,0.949,1.490066225,33.94039735,58.60927152,5.960264901
China,26/2/2022,64.35,2.19,0,-,"",0.761,0.634249471,42.07188161,49.89429175,7.399577167
Brazil,26/2/2022,69.91,0.69,3.331,-,82.97,0.765,0.903614458,46.38554217,46.08433735,6.626506024
France,26/2/2022,69.44,0.72,3.104,14.58,80.03,0.901,0.846805235,37.49037721,48.19091609,13.47190146
New Zealand,26/2/2022,62.04,2.32,0.084,-,83.05,0.931,1.229364243,45.41622761,46.61046716,6.743940991
South Korea,26/2/2022,46.3,1.42,1.501,"",87.46,0.916,0.819672131,29.50819672,63.1147541,6.557377049
Japan,26/2/2022,47.22,0.9,1.859,-,"",0.919,0.652528548,32.78955954,58.56443719,7.993474715
India,26/2/2022,71.76,0.35,0.187,-,69.28,0.645,0.604567846,28.80653829,60.43439319,10.15450067
Canada,26/2/2022,68.98,0.86,1.302,-,85.54,0.929,0.739803984,48.39076826,45.41258299,5.456844768
South Africa,26/2/2022,37.96,0.85,1.366,"","",0.709,0.519330641,42.23889209,50.72129256,6.520484709
Egypt,26/2/2022,43.52,0.84,0.408,-,39.11,0.707,1.063829787,37.76595745,57.44680851,3.723404255
Argentina,26/2/2022,35.19,0.58,2.703,-,89.35,0.845,1.304347826,40,48.69565217,10
Singapore,27/1/2022,60.19,1.68,0.131,"",90.19,0.938,0.965517241,34.20689655,58.06896552,6.75862069
United States,27/1/2022,58.8,0.77,7.196,"",75.57,0.926,0.757135665,47.05956392,45.75248828,6.43081213
Italy,27/1/2022,76.85,0.86,6.079,14.594,82.89,0.892,0.264317181,36.65198238,52.07048458,11.01321586
Germany,27/1/2022,84.26,1.41,1.701,14.386,75.1,0.947,0.971250971,36.75213675,53.96270396,8.313908314
Norway,27/1/2022,45.37,1.27,0.68,-,78.96,0.957,1.75879397,41.20603015,48.99497487,8.040201005
United Kingdom,27/1/2022,42.13,1.2,3.86,"",76.67,0.932,0.934579439,44.66724379,46.99574228,7.4024345
Australia,27/1/2022,66.2,0.81,2.764,-,83.54,0.944,1.176751687,43.76082671,47.79881727,7.263604325
Taiwan,27/1/2022,27.78,1.09,0,"",79.94,"",0.78125,37.109375,57.03125,5.078125
Hong Kong,27/1/2022,65.74,"",0,-,70.38,0.949,0.37593985,32.45614035,62.78195489,4.385964912
China,27/1/2022,64.35,1.18,0,-,"",0.761,0.375469337,41.17647059,52.81602003,5.63204005
Brazil,27/1/2022,61.57,1.36,1.945,-,79.1,0.765,0.882352941,36.17647059,53.67647059,9.264705882
France,27/1/2022,69.44,1,4.03,30.554,79.71,0.901,0.590893292,41.39728884,48.90510949,9.106708377
New Zealand,27/1/2022,62.04,1.47,0,-,80.7,0.931,1.149851632,39.13204748,50.70474777,9.013353116
South Korea,27/1/2022,50.93,1.82,0.493,"",87.08,0.916,0.483091787,24.87922705,67.63285024,7.004830918
Japan,27/1/2022,47.22,1.53,0.205,-,"",0.919,1.076812635,36.53984207,53.40990668,8.973438622
India,27/1/2022,83.8,0.94,0.403,-,67.12,0.645,0.51391863,26.77730193,65.18736617,7.521413276
Canada,27/1/2022,78.24,0.76,3.937,-,84.77,0.929,0.930359086,44.8422198,46.53699674,7.690424374
South Africa,27/1/2022,41.67,0.83,2.458,"",32.52,0.709,0.384721077,47.01841165,46.3588898,6.237977466
Egypt,27/1/2022,43.52,1.29,0.323,-,"",0.707,1.690140845,34.92957746,56.90140845,6.478873239
Argentina,27/1/2022,35.19,0.74,4.833,-,87.86,0.845,0.833333333,36.45833333,54.16666667,8.541666667
Singapore,31/1/2022,60.19,1.47,0.183,"",90.41,0.938,1.261829653,26.02523659,59.77917981,12.93375394
United States,31/1/2022,58.8,0.66,7.691,"",75.74,0.926,0.862925815,45.43575495,46.24785398,7.453465257
Italy,31/1/2022,76.85,0.79,6.207,13.749,83.17,0.892,1.556776557,39.83516484,49.17582418,9.432234432
Germany,31/1/2022,84.26,1.31,1.771,15.947,75.22,0.947,1.030927835,37.8556701,51.34020619,9.773195876
Norway,31/1/2022,45.37,1.14,0.68,-,79,0.957,0.857142857,44.85714286,48.85714286,5.428571429
United Kingdom,31/1/2022,42.13,1.59,3.858,"",76.77,0.932,0.905356424,43.88078937,47.1751913,8.038662908
Australia,31/1/2022,55.56,0.75,3.351,-,84.08,0.944,0.843546077,48.44819354,44.2410738,6.467186588
Taiwan,31/1/2022,27.78,1.05,0,"","","",0.408163265,31.83673469,55.10204082,12.65306122
Hong Kong,31/1/2022,65.74,"",0,-,70.98,0.949,0.173310225,33.96880416,56.67244367,9.185441941
China,31/1/2022,64.35,1.18,0,-,"",0.761,2.083333333,40.625,49.4047619,7.886904762
Brazil,31/1/2022,61.57,1.16,2.639,-,79.59,0.765,33.92282958,56.10932476,9.967845659,0.00E+00
France,31/1/2022,69.44,0.9,4.075,29.605,79.78,0.901,0.706319703,37.91821561,53.19702602,8.178438662
New Zealand,31/1/2022,62.04,1.59,0.028,-,81.39,0.931,1.99123855,41.65671047,46.71445639,9.637594584
South Korea,31/1/2022,50.93,1.63,0.512,"",87.13,0.916,1.171875,20.5078125,51.3671875,26.953125
Japan,31/1/2022,47.22,1.46,0.326,-,"",0.919,0.834028357,30.94245204,59.04920767,9.174311927
India,31/1/2022,83.8,0.77,0.593,-,67.68,0.645,0.784263852,29.50103862,53.00775785,16.70693968
Canada,31/1/2022,78.24,0.75,3.588,-,84.96,0.929,0.863050644,46.14623914,45.6188193,7.37189092
South Africa,31/1/2022,41.67,0.86,1.656,"",32.66,0.709,1.034482759,29.12466844,63.18302387,6.657824934
Egypt,31/1/2022,43.52,1.24,0.327,-,"",0.707,1.385041551,38.50415512,50.41551247,9.695290859
Argentina,31/1/2022,35.19,0.64,5.729,-,88.09,0.845,0.452488688,27.8280543,57.91855204,13.80090498
Singapore,2/2/2022,60.19,1.44,0.236,"",90.41,0.938,1.301115242,34.01486989,58.55018587,6.133828996
United States,2/2/2022,58.8,0.61,7.65,"",75.83,0.926,0.876640184,43.96592469,48.91179582,6.245639306
Italy,2/2/2022,76.85,0.74,6.034,13.037,83.27,0.892,1.304753029,36.62628145,56.38397018,5.68499534
Germany,2/2/2022,84.26,1.27,1.778,16.865,75.29,0.947,0.958188153,35.49651568,57.40418118,6.141114983
Norway,2/2/2022,25,1.09,0.732,-,79.04,0.957,0.573065903,37.24928367,56.16045845,6.017191977
United Kingdom,2/2/2022,42.13,1.24,3.332,"",76.8,0.932,0.673139364,51.23620064,43.06983227,5.020827724
Australia,2/2/2022,55.56,0.7,3.307,-,84.3,0.944,0.709916994,45.63128003,47.34600262,6.312800349
Taiwan,2/2/2022,27.78,1.04,0,"","","",0.518134715,39.37823834,53.88601036,6.21761658
Hong Kong,2/2/2022,65.74,"",0,-,70.98,0.949,1.339285714,28.79464286,64.73214286,5.133928571
China,2/2/2022,64.35,1.29,0,-,"",0.761,0.631911532,34.28120063,60.50552923,4.58135861
Brazil,2/2/2022,61.57,1.09,3.06,-,79.87,0.765,0.612557427,31.69984686,62.02143951,5.666156202
France,2/2/2022,69.44,0.85,3.903,31.073,79.82,0.901,0.727411945,40.12251149,52.94793262,6.202143951
New Zealand,2/2/2022,62.04,1.64,0.028,-,81.71,0.931,1.914975105,36.61432401,53.92569897,7.545001915
South Korea,2/2/2022,50.93,1.58,0.44,"",87.13,0.916,0.471698113,30.18867925,60.37735849,8.962264151
Japan,2/2/2022,47.22,1.3,0.411,-,80.41,0.919,0.591715976,31.69907016,60.43956044,7.269653423
India,2/2/2022,81.94,0.67,0.747,-,67.91,0.645,0.606218065,29.05949597,61.8991946,8.435091366
Canada,2/2/2022,78.24,0.74,3.524,-,85.01,0.929,1.025337364,43.81213576,49.63692461,5.525602269
South Africa,2/2/2022,41.67,0.87,2.313,"",32.78,0.709,0.484554815,31.92004846,61.78073895,5.814657783
Egypt,2/2/2022,43.52,1.2,0.377,-,"",0.707,0.842696629,41.01123596,49.71910112,8.426966292
Argentina,2/2/2022,35.19,0.59,5.685,-,88.25,0.845,0.224215247,37.89237668,56.05381166,5.829596413
Singapore,4/2/2022,60.19,1.53,0.341,"",90.58,0.938,1.804511278,22.10526316,68.27067669,7.819548872
United States,4/2/2022,58.8,0.6,7.6,"",75.92,0.926,0.967674385,45.50494307,46.75917252,6.768210023
Italy,4/2/2022,76.85,0.74,6.224,12.341,83.37,0.892,0.912200684,38.54047891,54.16191562,6.385404789
Germany,4/2/2022,84.26,1.24,1.737,18.391,75.35,0.947,0.898770104,34.53169347,56.859035,7.710501419
Norway,4/2/2022,25,1.07,0.732,-,79.08,0.957,1.083032491,37.54512635,51.62454874,9.747292419
United Kingdom,4/2/2022,42.13,1.02,3.249,"",76.85,0.932,0.843939915,39.47024424,51.81057218,7.875243665
Australia,4/2/2022,55.56,0.71,2.892,-,84.49,0.944,0.814774579,49.12411733,43.42069527,6.640412819
Taiwan,4/2/2022,27.78,1.03,0,"","","",0.966183575,29.46859903,53.62318841,15.94202899
Hong Kong,4/2/2022,65.74,"",0,-,71.3,0.949,0.556586271,21.89239332,70.87198516,6.67903525
China,4/2/2022,64.35,1.56,0,-,"",0.761,1.062416999,41.03585657,47.01195219,10.88977424
Brazil,4/2/2022,61.57,1.04,3.401,-,80.28,0.765,0.788954635,33.13609467,59.76331361,6.311637081
France,4/2/2022,69.44,0.8,4.087,32.185,79.85,0.901,0.950020653,30.97893432,60.76001652,7.311028501
New Zealand,4/2/2022,62.04,1.69,0.028,-,81.92,0.931,2.078822001,38.19835427,50.5413599,9.181463837
South Korea,4/2/2022,48.15,1.88,0.407,"",87.18,0.916,0.396825397,21.42857143,71.42857143,6.746031746
Japan,4/2/2022,47.22,1.24,0.527,-,"",0.919,1.288659794,27.23367698,62.54295533,8.934707904
India,4/2/2022,81.94,0.59,0.812,-,68.09,0.645,0.512720665,35.34527518,57.34034268,6.801661475
Canada,4/2/2022,76.39,0.73,2.961,-,85.08,0.929,1.056936325,45.01627164,47.70325145,6.223540593
South Africa,4/2/2022,41.67,0.86,1.811,"","",0.709,0.490496628,31.14653587,62.29307174,6.069895769
Egypt,4/2/2022,43.52,1.15,0.407,-,"",0.707,1.408450704,34.92957746,56.33802817,7.323943662
Argentina,4/2/2022,35.19,0.58,5.582,-,88.39,0.845,0.301204819,23.19277108,69.87951807,6.626506024
Singapore,12/1/2022,50,1.47,0.131,"",88.54,0.938,0.537634409,26.34408602,63.97849462,9.139784946
United States,12/1/2022,53.24,1.21,5.642,"",74.54,0.926,0.859022785,48.01389058,44.23662727,6.890459364
Italy,12/1/2022,76.85,1.24,3.777,17.36,81.45,0.892,0.35971223,38.84892086,51.43884892,9.352517986
Germany,12/1/2022,84.26,1.38,3.082,14.279,74.31,0.947,1.089918256,38.69209809,52.58855586,7.629427793
