location,date,stringency_index,reproduction_rate,new_deaths_smoothed_per_million,weekly_icu_admissions_per_million,people_vaccinated_per_hundred,human_development_index,%_of_mixed_sentiments,%_of_negative_sentiments,%_of_neutral_sentiments,%_of_positive_sentiments
China,26/1/2022,64.35,1.14,0,-,"",0.761,0.687757909,41.6781293,51.99449794,5.639614856
Brazil,26/1/2022,61.57,1.41,1.73,-,78.94,0.765,0.737463127,30.97345133,62.24188791,6.04719764
France,26/1/2022,69.44,1.03,4.443,30.331,79.69,0.901,0.664231152,40.35204251,52.34141481,6.642311524
New Zealand,26/1/2022,62.04,1.42,0,-,80.42,0.931,1.767603593,38.77137062,51.40538974,8.055636048
South Korea,26/1/2022,50.93,1.82,0.484,"",87.06,0.916,0.393700787,28.34645669,67.32283465,3.937007874
Japan,26/1/2022,47.22,1.6,0.162,-,"",0.919,1.626712329,33.98972603,58.4760274,5.907534247
India,26/1/2022,83.8,0.99,0.411,-,67.06,0.645,0.418836922,22.63867261,59.05063631,17.89185416
Canada,26/1/2022,78.24,0.75,3.61,-,84.73,0.929,1.038338658,45.26683233,46.0685126,7.626316412
South Africa,26/1/2022,41.67,0.82,2.731,"",32.46,0.709,0.447538538,43.83391348,51.29288911,4.425658876
Egypt,26/1/2022,43.52,1.29,0.304,-,"",0.707,0.785340314,31.41361257,60.9947644,6.806282723
Argentina,26/1/2022,35.19,0.78,4.357,-,87.77,0.845,0.409836066,32.58196721,60.45081967,6.557377049
Singapore,28/2/2022,60.19,1.09,1.755,15.219,91.45,0.938,2.303262956,25.91170825,64.29942418,7.485604607
United States,28/2/2022,53.24,0.63,5.751,"",76.59,0.926,0.833403485,45.5391868,48.13873222,5.488677498
Italy,28/2/2022,66.67,0.79,3.732,6.394,83.87,0.892,0.954198473,38.74045802,52.09923664,8.20610687
Germany,28/2/2022,84.26,0.97,2.392,18.748,75.67,0.947,1.192368839,39.98410175,51.74880763,7.074721781
Norway,28/2/2022,11.11,0.83,1.281,"",79.21,0.957,3.03030303,37.87878788,49.49494949,9.595959596
United Kingdom,28/2/2022,17.59,0.99,1.579,"",77.17,0.932,0.944232474,44.49840059,47.37349212,7.183874822
Australia,28/2/2022,51.39,1.07,1.352,-,85.53,0.944,0.910415149,45.65428502,46.39475601,7.040543821
Taiwan,28/2/2022,27.78,1.05,0.006,"",81.08,"",35.48387097,54.03225806,10.48387097,0.00E+00
Hong Kong,28/2/2022,71.3,"",8.398,-,81.63,0.949,0.933609959,31.12033195,64.21161826,3.734439834
China,28/2/2022,64.35,2.21,0,-,"",0.761,0.405679513,39.95943205,54.36105477,5.273833671
Brazil,28/2/2022,69.91,0.64,3.176,-,83.06,0.765,1.680672269,35.0140056,56.30252101,7.00280112
France,28/2/2022,69.44,0.76,3.706,13.764,80.04,0.901,0.909727082,36.38908328,56.82295311,5.878236529
New Zealand,28/2/2022,62.04,2.27,0,-,83.12,0.931,1.283656857,40.29430182,48.43456481,9.987476518
South Korea,28/2/2022,46.3,1.35,1.843,12.767,87.47,0.916,0.917431193,17.73700306,70.33639144,11.00917431
Japan,28/2/2022,47.22,0.99,1.87,-,80.7,0.919,1.343283582,33.28358209,56.86567164,8.507462687
India,28/2/2022,71.76,0.35,0.172,-,69.31,0.645,0.449086162,28.46997389,64.59530026,6.485639687
Canada,28/2/2022,68.98,0.89,1.486,-,85.56,0.929,0.786656415,44.11782102,48.97379784,6.121724729
South Africa,28/2/2022,37.96,0.82,1.447,"","",0.709,0.552956189,32.53934496,57.46490855,9.442790302
Egypt,28/2/2022,43.52,0.78,0.367,-,"",0.707,1.492537313,30.84577114,61.69154229,5.970149254
Argentina,28/2/2022,35.19,0.57,2.196,-,89.37,0.845,0.427350427,29.48717949,60.68376068,9.401709402
Singapore,29/1/2022,60.19,1.55,0.183,"",90.32,0.938,0.931098696,35.5679702,56.05214153,7.448789572
United States,29/1/2022,58.8,0.73,7.598,"",75.67,0.926,0.85125448,48.38163301,44.66190226,6.105210246
Italy,29/1/2022,76.85,0.83,6.195,14.18,83.05,0.892,1.648998822,39.69375736,50.29446408,8.362779741
Germany,29/1/2022,84.26,1.37,1.706,14.911,75.18,0.947,0.921658986,42.11981567,47.05069124,9.907834101
Norway,29/1/2022,45.37,1.2,0.653,-,78.98,0.957,1.324503311,38.41059603,50.99337748,9.271523179
United Kingdom,29/1/2022,42.13,1.38,3.835,"",76.73,0.932,0.943349387,45.5414329,45.61590785,7.899309865
Australia,29/1/2022,66.2,0.8,3.307,-,83.87,0.944,0.745390349,51.74578266,41.40559323,6.103233761
Taiwan,29/1/2022,27.78,1.06,0,"","","",1.435406699,32.53588517,56.93779904,9.090909091
Hong Kong,29/1/2022,65.74,"",0,-,70.8,0.949,1.659751037,31.95020747,60.58091286,5.809128631
China,29/1/2022,64.35,1.18,0,-,"",0.761,0.688468158,36.31669535,56.28227194,6.712564544
Brazil,29/1/2022,61.57,1.28,2.456,-,79.36,0.765,0.469483568,33.8028169,60.25039124,5.477308294
France,29/1/2022,69.44,0.95,4.117,30.064,79.76,0.901,1.07434465,39.83669961,50.27932961,8.809626128
New Zealand,29/1/2022,62.04,1.54,0,-,81.17,0.931,1.117087298,43.73189905,49.02772031,6.123293339
South Korea,29/1/2022,50.93,1.74,0.535,3.255,87.12,0.916,0.896860987,42.60089686,48.43049327,8.071748879
Japan,29/1/2022,47.22,1.52,0.273,-,"",0.919,1.634877384,36.42143506,54.76839237,7.175295186
India,29/1/2022,83.8,0.85,0.48,-,67.36,0.645,0.387878788,33.26060606,58.76848485,7.583030303
Canada,29/1/2022,78.24,0.75,3.715,-,84.85,0.929,0.87974831,46.40817991,47.02575157,5.686320205
